一	Uno	ichi, itsu	hito-tsu
氷	Hielo	hyō	kōri
決	Decidir	ketsu	ki-meru
油	Aceite	yu	abura
波	Ola	ha	nami
注	Vertir	chū	soso-gu
泳	Nadar	ei	oyo-gu
洋	Océano, occidental	yō
流	Corriente	ryū	naga-reru
消	Borrar, eliminar	shō	ki-eru o ke-su
深	Hondo	shin	fuka-i
温	Templado	on	atata-kai
港	Puerto	kō	minato
湖	Lago	ko	mizūmi
湯	Agua caliente	tō	yu
漢	China	kan
炭	Carbón	tan	sumi
物	Cosa	butsu o motsu	mono
球	Pelota, bola	kyū	tama
由	Razón	yū o yu　	yoshi
申	Decir		mō-su
界	Mundo	kai
畑	Campo		hata o hatake
病	Enfermeda	byō	yamai
発	Abrir, exponer	hatsu
登	Escalar	tō o to	nobo-ru
皮	Piel	hi	kawa
皿	Plato		sara
相	Conjuntamente	sō	ai
県	Prefectura	ken
真	Puro	shin	ma
着	Vestir, llegar	chaku	ki-ru o tsu-ku
短	Corto	tan	mijika-i
研	Pulir, afilar	ken	to-gu
礼	Saludo	rei
神	Dios	shin or jin	kami
祭	Festival	sai	matsu-ri
福	Fortuna	fuku
秒	Segundo (ud. de tiempo)	byō
究	Profundizar	kyū
章	Capítulo	shō
童	Niño	dō
笛	Flauta	teki	fue
第	Prefijo ordinal	dai
筆	Pincel de escritura	hitsu	fude
等	Clase	tō	hito-shii
箱	Caja		hako
級	Nivel	kyū
終	Terminar, fin	shū	o-waru
緑	Verde	ryoku	midori
練	Ejercitar	ren	ne-ru
羊	Oveja	yō	hitsuji
美	Belleza	bi	utsuku-shii
習	Aprender, estudiar	shū	nara-u
者	Persona	sha	mono
育	Criar, educar	iku	soda-tsu
苦	Doloroso, sufrimiento	ku	kuru-shii o niga-i
荷	Carga, equipaje	ka	ni
落	Caer	raku	o-chiru
葉	Hoja	yō	ha
薬	Medicina	yaku	kusuri
血	Sangre	ketsu	chi
表	Superficie	hyō	omote o arawa-su
詩	Poema	shi
調	Investigar	chō	shira-beru
談	Discutir	dan
豆	Legumbres, habichuelas	tō o zu	mame
負	Perder	fu	ma-keru u o-u
起	Levantarse, despertarse	ki	o-kiru
路	Camino	ro	ji
身	Cuerpo	shin	mi
転	Rodar	ten	koro-bu
軽	Ligero	kei	karu-i
農	Agricultura	nō
返	Devolver	hen	kae-su
追	Expulsar	tsui	o-u
送	Regalar, enviar	sō	oku-ru
速	Rápido	soku	haya-i
進	Avanzar	shin	susu-mu
遊	Jugar	yū	aso-bu
運	Transportar	un	hako-bu
部	Sección	bu
都	Capital	to or tsu	miyako
配	Distribuir	hai	kuba-ru
酒	Vino de arroz, sake	shu	sake o saka
重	Pesado	jū o chō	omo-i o kasa-neru
鉄	Hierro	tetsu
銀	Plata	gin
開	Abrir	kai	hira-ku o a-ku
院	Institución	in
陽	Positivo	yō
階	Planta	kai
集	Coleccionar	shū	atsu-maru
面	Cara	men　	omo-te o tsura
題	Tema	dai
飲	Bebida	in	no-mu
館	Edificio	kan
駅	Estación de tren	eki
鼻	Nariz	bi	hana
不	Prefijo negativo: in-, des-	fu o bu
争	Pelear	sō	araso-u
付	Pegar, adjuntar	fu	tsu-ku
令	órdenes	rei
以	Además de, más que	i
仲	Mediación	chū	naka
伝	Transmitir	den	tsuta-eru
位	Posición, aproximadamente	i	kurai
低	Bajo	tei	hiku-i
